table,data
label,"{""concept_id"": ""voice_indulgence"", ""concept_name"": ""Voice (Part 4)"", ""set"": ""Narrative/Voice"", ""type"": ""element"", ""definition"": ""Designing for indulgence via taste, obsession, belief, and the thing you can’t shut up about."", ""axes"": ""indulgence_channel|leak_level|allowance"", ""axis_values"": ""taste|obsession|belief|soapbox | hidden|visible|dominant | suppressed|allowed|designed_for"", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_indulgence_channel_taste"", ""signal_type"": ""textual_cue"", ""axis_value"": ""indulgence_channel:taste"", ""description"": ""indulgence_channel ⇒ taste"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_indulgence_channel_obsession"", ""signal_type"": ""textual_cue"", ""axis_value"": ""indulgence_channel:obsession"", ""description"": ""indulgence_channel ⇒ obsession"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_indulgence_channel_belief"", ""signal_type"": ""textual_cue"", ""axis_value"": ""indulgence_channel:belief"", ""description"": ""indulgence_channel ⇒ belief"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_indulgence_channel_soapbox"", ""signal_type"": ""textual_cue"", ""axis_value"": ""indulgence_channel:soapbox"", ""description"": ""indulgence_channel ⇒ soapbox"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_leak_level_hidden"", ""signal_type"": ""textual_cue"", ""axis_value"": ""leak_level:hidden"", ""description"": ""leak_level ⇒ hidden"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_leak_level_visible"", ""signal_type"": ""textual_cue"", ""axis_value"": ""leak_level:visible"", ""description"": ""leak_level ⇒ visible"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_leak_level_dominant"", ""signal_type"": ""textual_cue"", ""axis_value"": ""leak_level:dominant"", ""description"": ""leak_level ⇒ dominant"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_allowance_suppressed"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""allowance:suppressed"", ""description"": ""allowance ⇒ suppressed"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_allowance_allowed"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""allowance:allowed"", ""description"": ""allowance ⇒ allowed"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""concept_id"": ""voice_indulgence"", ""signal_id"": ""sig_allowance_designed_for"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""allowance:designed_for"", ""description"": ""allowance ⇒ designed_for"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""blueprint_id"": ""bp_four_horsemen_scan"", ""concept_id"": ""voice_indulgence"", ""cognitive_goal"": ""diagnose"", ""task_type"": ""order"", ""prompt_template"": ""Scan a draft for taste/obsession/belief/soapbox; tag where each leaks."", ""expected_features"": ""Leak map with examples + intensity."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""indulgence_channel|leak_level|allowance"", ""difficulty"": 2, ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
label,"{""blueprint_id"": ""bp_indulgence_scene"", ""concept_id"": ""voice_indulgence"", ""cognitive_goal"": ""design"", ""task_type"": ""compose"", ""prompt_template"": ""Write one scene that indulges each channel once; keep plot intact."", ""expected_features"": ""Four scenes with distinct fuel; story still moves."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""indulgence_channel|leak_level|allowance"", ""difficulty"": 3, ""source_file"": ""Voice Part 4.md"", ""source_md5"": ""a4e44a505de49b3088add92ef1d087be"", ""last_modified_iso"": ""2025-09-30T21:11:05.628623Z""}"
